date,price_sterling,,
07/02/2018,60.54,19,
07/02/2018,47,20,
07/02/2018,43.37,21,
07/02/2018,40.67,22,
08/02/2018,42.82,23,
08/02/2018,42.94,0,
08/02/2018,42.76,1,
08/02/2018,42.08,2,
08/02/2018,41.43,3,
08/02/2018,41.24,4,
08/02/2018,44.61,5,
08/02/2018,54.1,6,
08/02/2018,59.17,7,
08/02/2018,61.34,8,
08/02/2018,61.1,9,
08/02/2018,54.38,10,
08/02/2018,47.77,11,
08/02/2018,46.53,12,
08/02/2018,46.82,13,
08/02/2018,46,14,
08/02/2018,49.02,15,
08/02/2018,55.85,16,
08/02/2018,64.74,17,
08/02/2018,64.61,18,
08/02/2018,60.56,19,
08/02/2018,47.74,20,
08/02/2018,47.48,21,
08/02/2018,42.22,22,
09/02/2018,47.2,23,
09/02/2018,45.97,0,
09/02/2018,44.16,1,
09/02/2018,41.62,2,
09/02/2018,41.06,3,
09/02/2018,37.34,4,
09/02/2018,44.26,5,
09/02/2018,47.91,6,
09/02/2018,48.21,7,
09/02/2018,51.24,8,
09/02/2018,57.66,9,
09/02/2018,47.79,10,
09/02/2018,44.49,11,
09/02/2018,42.55,12,
09/02/2018,42.08,13,
09/02/2018,41.98,14,
09/02/2018,41.94,15,
09/02/2018,45.5,16,
09/02/2018,70,17,
09/02/2018,73.86,18,
09/02/2018,62.49,19,
09/02/2018,49,20,
09/02/2018,49.6,21,
09/02/2018,41.65,22,
10/02/2018,55.1,23,
10/02/2018,47.95,0,
10/02/2018,47.93,1,
10/02/2018,46.99,2,
10/02/2018,41.03,3,
10/02/2018,38.99,4,
10/02/2018,36.6,5,
10/02/2018,39.38,6,
10/02/2018,41.42,7,
10/02/2018,46.05,8,
10/02/2018,48.05,9,
10/02/2018,48.08,10,
10/02/2018,46.2,11,
10/02/2018,46.93,12,
10/02/2018,50.1,13,
10/02/2018,51.53,14,
10/02/2018,48.3,15,
10/02/2018,44.41,16,
10/02/2018,71.2,17,
10/02/2018,72.99,18,
10/02/2018,49.9,19,
10/02/2018,46.84,20,
10/02/2018,42.09,21,
10/02/2018,37.91,22,
11/02/2018,45.9,23,
11/02/2018,46,0,
11/02/2018,47.55,1,
11/02/2018,45.92,2,
11/02/2018,42.94,3,
11/02/2018,38.02,4,
11/02/2018,35,5,
11/02/2018,41,6,
11/02/2018,38.03,7,
11/02/2018,41.2,8,
11/02/2018,43.54,9,
11/02/2018,46.87,10,
11/02/2018,43.56,11,
11/02/2018,48.09,12,
11/02/2018,49.56,13,
11/02/2018,42.33,14,
11/02/2018,41.27,15,
11/02/2018,44.1,16,
11/02/2018,74.12,17,
11/02/2018,83.4,18,
11/02/2018,54.09,19,
11/02/2018,45.99,20,
11/02/2018,48.14,21,
11/02/2018,39.71,22,
12/02/2018,41.05,23,
12/02/2018,45.97,0,
12/02/2018,44.05,1,
12/02/2018,41.51,2,
12/02/2018,41.08,3,
12/02/2018,38.54,4,
12/02/2018,43.13,5,
12/02/2018,47.78,6,
12/02/2018,50.39,7,
12/02/2018,57.73,8,
12/02/2018,64,9,
